DIA DO NASCIMENTO;DESAFIO;DESCRICAO;
1;INSUBORDINAÇÃO;Recusa em acatar ordens legítimas de autoridade, desafiando ou desobedecendo instruções diretas.;
2;PREPOTÊNCIA;Atitude marcada pela crença exagerada na própria superioridade e no poder pessoal, levando a desprezo ou dominação dos demais.;
3;AGRESSIVIDADE;Expressão de sentimentos e opiniões de forma hostil ou ameaçadora, transgredindo direitos de outros para impor vontades34.;
4;PESSIMISMO;Tendência a antecipar resultados negativos e focar nos aspectos desfavoráveis das situações5.;
5;IMPACIÊNCIA;Dificuldade em esperar, demonstrando inquietação frente a atrasos ou obstáculos.;
6;INDECISÃO;Hesitação recorrente entre alternativas, marcada por dificuldade em escolher e agir.;
7;CENTRALIZADOR;Necessidade recorrente de controlar decisões e processos, evitando delegar tarefas.;
8;DESCONFIANÇA;Expectativa contínua de intenções negativas ou enganos por parte dos outros.;
9;FALTA DE PERSISTÊNCIA;Desistência frequente diante de dificuldades, dificuldade em manter esforços prolongados.;
10;SUPERIORIDADE;Sentimento ou comportamento de se considerar melhor ou mais capaz que os outros.;
11;INCONSISTÊNCIA;Mudança frequente de opiniões ou comportamentos sem justificativa clara.;
12;INCONSEQUENTE;Age sem considerar as consequências de seus atos, podendo colocar-se ou outros em risco.;
13;ANTI SOCIAL;Demonstra comportamentos que evitam ou prejudicam interações sociais positivas.;
14;FALTA DE CREDIBILIDADE;Dificuldade para inspirar confiança nos outros devido a comportamentos passados ou presentes.;
15;EGOCENTRISMO;Tendência a focar excessiva e prioritariamente em si mesmo e em seus próprios interesses.;
16;ORGULHO;Valorização exagerada das próprias qualidades ou feitos, resistindo a admitir erros.;
17;EXIBICIONISMO;Busca constante de atenção ou aprovação, exibindo comportamentos ou características para impressionar.;
18;EXPLOSÃO;Reações emocionais intensas e desproporcionais diante de frustrações.;
19;ARROGÂNCIA;Demonstração de desprezo ou desdém pelos outros, achando-se superior.;
20;ALTA SENSIBILIDADE;Reatividade emocional elevada frente a estímulos ou críticas.;
21;INSTABILIDADE;Variações frequentes no humor ou nas atitudes sem motivo aparente.;
22;GANÂNCIA;Desejo exagerado de obter vantagens ou possuir bens, acima do necessário.;
23;DESCONTROLE;Dificuldade em conter impulsos ou emoções, agindo impulsivamente.;
24;SENSURA;Tendência a criticar ou julgar excessivamente comportamentos próprios ou alheios.;
25;INSEGURANÇA;Sentimento de incapacidade pessoal, medo de não ser aceito ou fracassar.;
26;DOMINADOR;Busca constante de exercer poder e controle sobre pessoas e situações.;
27;INDOLÊNCIA;"Falta de disposição para agir; tendência à preguiça e apatia.";
28;ACOMODADO;Aceita situações negativas ou mediocres sem buscar mudanças.;
29;EXTREMISTA;Defende ou adota posições muito radicais, com pouca abertura ao diálogo.;
30;DESPREOCUPAÇÃO;Falta de atenção ou responsabilidade com questões importantes.;
31;IMPOSITIVO;Força opiniões ou vontades sobre os outros, mesmo sem consentimento.;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;Essas definições são extraídas ou adaptadas de conceitos usuais da análise comportamental e suas relações entre comportamento e ambiente, onde atributos são vistos como padrões comportamentais aprendidos e mantidos por suas consequências no contexto social678.
;;;
;;;Adicionar a seguimento
;;;Verificar fontes
;;;
;;;1. https://advogadoriodejaneiro.com/ato-de-indisciplina-ou-insubordinacao-o-que-significa/
;;;2. https://www.ticket.com.br/blog/pessoas-e-gestao/insubordinacao-no-trabalho/
;;;3. https://meuartigo.brasilescola.uol.com.br/psicologia/agressividade-psicanalise.htm
;;;4. https://www.scielo.br/j/ptp/a/5W9xKFnHc3HVqkZNrVGh6PN/
;;;5. https://pt.wikipedia.org/wiki/Pessimismo
;;;6. http://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1677-11682010000200007
;;;7. http://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1517-55452010000100001
;;;8. https://www.scielo.br/j/ptp/a/DvWmnZzqYr4fRgvPfXxcz8x/
;;;9. https://itcrcampinas.com.br/pdf/helio/analise_comportamental_sentimento_culpa.PDF
;;;10. http://www.uel.br/pos/pgac/wp-content/uploads/2019/01/UELlivro5dez18press.pdf
;;;11. https://www.scielo.br/j/prc/a/MrqdGPVCrQG7SQzZXDCWbCg/?lang=pt
;;;12. http://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1517-55452006000100008
;;;13. https://www.scielo.br/j/pusp/a/3qXqNK4YFmmq8KV6mvdfLxK/?format=pdf
;;;14. https://ibac.com.br/wp-content/uploads/2017/08/Monografia-Deise-Meyer.pdf
;;;15. http://pepsic.bvsalud.org/scielo.php?script=sci_arttext&pid=S1517-55452002000200004
;;;16. https://www.scielo.br/j/prc/a/Nyyc4Rp89xHzXPhZ9GhxRBQ/
;;;17. https://revista.unitins.br/index.php/humanidadeseinovacao/article/view/3248/3325
;;;18. https://solides.com.br/blog/conheca-as-vantagens-da-analise-comportamental/
;;;19. https://www.scielo.br/j/pusp/a/3qXqNK4YFmmq8KV6mvdfLxK/?lang=pt
;;;20. https://www.scielo.br/j/estpsi/a/wHqz3qV6gSPKfdL4f8CGRYg/?lang=pt
