TRIANGULO;FORTALEZA;DESCRICAO
1;INOVAÇÃO;Capacidade de propor e implementar ideias novas, buscando soluções criativas para problemas.
2;SABEDORIA;Habilidade de aplicar conhecimento e experiência de forma equilibrada e ponderada em decisões e ações.
3;CRIAÇÃO;Tendência a gerar conceitos, produtos ou soluções originais, expressando inventividade.
4;AUTORIDADE;Influência reconhecida exercida sobre pessoas ou situações, legitimando decisões e orientações.
5;VERSATILIDADE;Facilidade de adaptar-se a diferentes funções, ambientes ou demandas, mostrando flexibilidade comportamental.
6;RELACIONAMENTO;Habilidade de estabelecer, manter e fortalecer vínculos interpessoais positivos.
7;DIRECIONAMENTO;Capacidade de definir e comunicar objetivos, guiando ações próprias e de outros para o alcance de metas.
8;AUTORIDADE;Influência reconhecida exercida sobre pessoas ou situações, legitimando decisões e orientações.
9;CONHECIMENTO;Acúmulo e aplicação de informações, habilidades e experiências relevantes ao contexto.
11;DOMINÂNCIA;Tendência a assumir o controle de situações e influenciar diretamente decisões e comportamentos de outros.
22;REALIZAÇÃO;Busca constante por atingir objetivos e concretizar projetos, mostrando produtividade e eficácia.
