CAMPO;EXPLICACAO
EXPRESSÃO; indica a forma como a pessoa se manifesta no mundo, seus talentos, sua maneira de agir e de se comunicar.
MOTIVAÇÃO;mostra o que impulsiona a pessoa por dentro, seus desejos mais profundos e aquilo que a move na vida.
IMPRESSÃO;revela a primeira imagem que a pessoa transmite aos outros, ou seja, como ela costuma ser percebida de início.
DESTINO;aponta o caminho principal da vida, com tendências, oportunidades e aprendizados mais marcantes da trajetória.
No PSÍQUICO;Revela a vibração mais íntima da pessoa, ligada à sensibilidade, à intuição e à forma como ela reage por dentro diante da vida. Em geral, esse número mostra desejos profundos, percepção espiritual e a qualidade do mundo interior.
ARCANO ATUAL; indica a energia principal que está atuando no presente momento na vida da pessoa, mostrando o tom do período, os aprendizados em curso e a forma mais favorável de agir agora.
TRIÂNGULO DA VIDA;mostram quais energias aparecem com mais força no mapa da pessoa, indicando talentos naturais, temas recorrentes e características que tendem a se destacar ao longo da vida. 
TRIÂNGULO DA VIDA REPETIÇÕES;Mostram quais energias aparecem com mais força no mapa da pessoa, indicando talentos naturais, temas recorrentes e características que tendem a se destacar ao longo da vida.
DIA PESSOAL;Mostra a energia predominante daquele dia para a pessoa, ajudando a entender o melhor modo de agir.
MÊS PESSOAL;Mostra a influência específica do mês sobre a pessoa, refinando as tendências do Ano Pessoal.
ANO PESSOAL;Indica o clima geral do ano da pessoa, com tendências, oportunidades e aprendizados que se destacam ao longo do período.
MISSÃO;Mostra a razão de existir, aquilo que a pessoa veio desenvolver, realizar e contribuir ao longo da vida.
DÍVIDAS CÁRMICAS;Indicam que a pessoa traz aprendizados mais intensos ligados a padrões do passado, normalmente exigindo correção, disciplina e superação de excessos ou desequilíbrios.
LIÇÕES CÁRMICAS;Mostram quais qualidades a pessoa precisa desenvolver nesta vida, com base nas letras que faltam no nome.
TENDÊNCIAS OCULTAS;Mostram desejos, padrões e inclinações mais profundas que a pessoa pode ter trazido de experiências anteriores, especialmente quando esses impulsos se repetem sem muita consciência. Quando bem observadas, ajudam a entender comportamentos automáticos e pontos que precisam de atenção e equilíbrio.
RESPOSTA SUBCONSCIENTE;Revela a reação mais instintiva da pessoa diante de crises, pressão e momentos difíceis.
DIA NATALÍCIO;"Mostram desejos, padrões e inclinações mais profundas que a pessoa pode ter trazido de experiências anteriores, especialmente quando esses impulsos se repetem sem muita consciência. Quando bem observadas, ajudam a entender comportamentos automáticos e pontos que precisam de atenção e equilíbrio.
"
1o DESAFIO;Aponta a primeira barreira importante da vida da pessoa e o tipo de aprendizado que ela precisa enfrentar na fase inicial.
2o DESAFIO;Revela uma segunda etapa de superação, geralmente ligada a amadurecimento e ajuste pessoal mais profundo.
DESAFIO PRINCIPAL;Indica o obstáculo mais importante do mapa, aquele que a pessoa deve observar com mais atenção ao longo da vida.
1o CICLO DE VIDA;Mostram as grandes fases da existência da pessoa, dividindo a vida em períodos com temas e lições próprias.
2o CICLO DE VIDA;
3o CICLO DE VIDA;
1o MOMENTO DECISIVO;São fases-chave dentro dos ciclos, nas quais surgem oportunidades e mudanças importantes para o caminho da pessoa.
2o MOMENTO DECISIVO;
3o MOMENTO DECISIVO;
4o MOMENTO DECISIVO;
