PERFIL;DESCRICAO
Líder;Assume o controle em qualquer situação, buscando chegar ao objetivo proposto para o momento. São os primeiros que chegam, tem os olhos atentos a tudo que passa ao redor. A energia de suas ações alcançam os seus liderados, criando uma força realizadora coletiva. São inspiradores, modelos e trazem segurança. Comunicam-se bem com o grupo de liderados, passando de forma clara o que precisa ser realizado.
Criativo;Possui a força criativa intrínseca. Gerador potente,concebe ideias, processos, produtos, soluções e artefatos mesmo sem problema proposto. Alimenta-se das informações disponíveis durante sua jornada para aprimorar as suas criações.
Executor;Entende as regras propostas e iniciam a sua execução. São bons em absorver processos e diretrizes e realizar entregas. Obtém satisfação nas tarefas finalizadas.
Vendedor;Possui um mix de habilidades incluindo raciocínio rápido, persuasão, diplomacia, capacidade de comunicação e envolvimento com o cliente.Sabe como expor naturalmente o produto e negociar, finalizando com a venda. É conectado a materialidade (a realização material).
Influenciador;Exerce domínio e interferência no modo de pensar e agir dos demais, através do que comunica, de suas posições,  valores e atitudes. Possui magnetismo ao agir, captando a atenção. Torna-se um porta voz para disseminar valores e objetivos comuns.
Comunicador;Extroversão. Transmite alegria, otimismo, criatividade, auto expressão, magnetismo pessoal. Sua comunicação pode ser visual, verbal, escrita, social.Tem popularidade e poder de convencimento.
Resultado;Natureza adaptável que tem capacidade de encarar o trabalho contínuo, regular, constante, para realizar os esforços necessários  e finalizar quaisquer  empreendimentos.
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
